iter	RMSE
0	274306.8818
1	268126.6033
2	262241.0123
3	256344.1466
4	250602.5139
5	245123.7343
6	239633.1975
7	234458.7123
8	229283.1005
9	224419.9477
10	219465.9401
11	214651.1546
12	209992.2781
13	205477.5785
14	201005.8165
15	196787.7431
16	192679.2125
17	188589.6742
18	184580.5168
19	180844.9165
20	177077.4106
21	173410.0003
22	169843.5928
23	166365.3429
24	162985.5873
25	159860.2268
26	156634.5979
27	153524.5782
28	150511.1614
29	147558.1423
30	144760.1076
31	142073.1319
32	139440.7187
33	136976.4719
34	134431.8684
35	131962.1329
36	129540.1366
37	127152.5525
38	124850.8366
39	122647.5989
40	120458.6877
41	118345.9001
42	116402.6543
43	114410.6517
44	112561.6275
45	110662.1027
46	108841.5666
47	107064.5547
48	105489.7827
49	103809.389
50	102176.7007
51	100611.2817
52	99072.56912
53	97564.96156
54	96169.85403
55	94804.50388
56	93508.54174
57	92206.6449
58	90978.8884
59	89789.85783
60	88611.78319
61	87447.71648
62	86329.97891
63	85288.99219
64	84236.52855
65	83232.08092
66	82212.07611
67	81238.78168
68	80346.3141
69	79473.22187
70	78586.09329
71	77754.457
72	76933.84687
73	76135.78603
74	75398.40771
75	74661.79609
76	73934.74792
77	73228.10754
78	72548.32757
79	71899.94069
80	71287.30385
81	70667.24581
82	70077.29279
83	69544.06357
84	68992.90047
85	68467.29333
86	68000.52599
87	67496.57573
88	67014.90428
89	66542.86624
90	66085.9385
91	65669.02325
92	65240.03131
93	64832.11763
94	64440.83029
95	64053.68513
96	63670.8518
97	63300.56818
98	62930.03465
99	62608.17182
100	62272.45613
101	61967.26798
102	61668.79231
103	61358.97685
104	61042.87326
105	60777.65961
106	60492.01958
107	60221.32102
108	59969.20281
109	59689.56802
110	59450.65559
111	59197.34179
112	58960.90628
113	58724.12885
114	58499.40587
115	58285.02011
116	58065.63438
117	57879.26039
118	57694.43427
119	57495.77889
120	57328.2018
121	57126.84406
122	56963.41013
123	56788.04151
124	56609.63276
125	56443.833
126	56287.56274
127	56128.43133
128	55974.81462
129	55813.84173
130	55667.98711
131	55517.24696
132	55372.81085
133	55220.26427
134	55068.69063
135	54968.93992
136	54828.68088
137	54717.66493
138	54601.83743
139	54493.0939
140	54364.69723
141	54255.14754
142	54133.18074
143	54030.14894
144	53930.24413
145	53828.28453
146	53737.34106
147	53654.16456
148	53563.43099
149	53465.65866
150	53390.56277
151	53306.96907
152	53241.95584
153	53154.69576
154	53073.69927
155	52999.89134
156	52917.80991
157	52843.39704
158	52766.04038
159	52682.93251
160	52592.6264
161	52517.66175
162	52440.85159
163	52370.15377
164	52295.82323
165	52234.23795
166	52154.4527
167	52092.89061
168	52027.98102
169	51971.3057
170	51906.32355
171	51856.294
172	51800.34344
173	51735.36923
174	51661.27022
175	51602.80272
176	51555.65584
177	51497.41465
178	51443.4312
179	51390.96058
180	51340.30049
181	51287.07853
182	51247.5888
183	51211.43498
184	51149.75141
185	51103.98248
186	51050.52469
187	51001.88734
188	50961.36067
189	50911.79678
190	50874.19995
191	50846.41728
192	50807.71485
193	50759.00842
194	50717.00476
195	50687.35941
196	50635.25413
197	50599.33964
198	50551.03645
199	50504.34959
200	50471.13318
201	50430.53611
202	50389.51001
203	50349.92787
204	50306.3283
205	50273.47436
206	50233.39503
207	50194.7404
208	50148.66153
209	50121.7515
210	50101.54571
211	50064.52201
212	50034.97887
213	50003.88463
214	49974.81094
215	49948.53543
216	49917.57457
217	49899.22315
218	49866.45427
219	49833.76736
220	49803.0856
221	49773.75559
222	49753.88046
223	49724.51178
224	49691.59236
225	49666.93388
226	49642.38437
227	49628.28865
228	49601.76104
229	49581.36379
230	49558.46287
231	49531.96248
232	49501.7841
233	49468.20617
234	49440.56351
235	49413.20449
236	49392.66788
237	49376.12771
238	49357.31718
239	49334.56632
240	49310.64823
241	49294.00799
242	49268.67529
243	49252.56328
244	49224.38468
245	49206.79198
246	49202.42858
247	49184.37332
248	49171.10409
249	49147.61143
250	49127.69272
251	49105.07301
252	49083.25264
253	49060.72496
254	49040.538
255	49023.85098
256	49007.23147
257	48993.89808
258	48979.82147
259	48961.60265
260	48943.8169
261	48921.29272
262	48909.37029
263	48889.08481
264	48873.69043
265	48860.43581
266	48842.49467
267	48828.5579
268	48812.0298
269	48796.2536
270	48783.03747
271	48767.40055
272	48750.71494
273	48730.53154
274	48712.04003
275	48695.90513
276	48680.89072
277	48666.90972
278	48654.81632
279	48639.5835
280	48625.52259
281	48611.03217
282	48597.17358
283	48586.99462
284	48572.43181
285	48557.25416
286	48536.74372
287	48520.6564
288	48503.04675
289	48489.3016
290	48474.12125
291	48458.78005
292	48447.49709
293	48432.883
294	48414.48646
295	48398.69263
296	48387.52907
297	48373.0541
298	48362.4542
299	48349.03328
300	48334.70383
301	48320.49989
302	48308.12603
303	48300.02023
304	48286.58101
305	48273.21635
306	48261.92469
307	48252.28149
308	48235.17848
309	48224.81401
310	48213.1936
311	48201.62201
312	48193.2345
313	48180.92236
314	48163.29857
315	48147.6551
316	48136.42765
317	48118.92858
318	48106.38658
319	48096.61787
320	48080.36064
321	48071.49628
322	48059.22582
323	48048.8788
324	48038.32969
325	48028.0369
326	48013.4111
327	47996.94083
328	47989.69404
329	47982.90404
330	47973.86826
331	47961.90702
332	47951.82815
333	47943.28024
334	47936.15106
335	47927.01136
336	47915.35453
337	47898.91662
338	47886.38113
339	47875.72287
340	47866.61436
341	47856.80539
342	47846.52814
343	47832.02065
344	47816.14236
345	47798.24574
346	47792.80694
347	47775.91497
348	47761.67464
349	47750.90865
350	47742.85873
351	47732.03654
352	47721.18333
353	47713.15227
354	47701.28493
355	47693.58425
356	47679.41274
357	47668.73635
358	47658.69055
359	47647.49158
360	47638.9247
361	47627.04083
362	47618.77944
363	47610.51399
364	47597.2595
365	47588.42029
366	47577.39154
367	47567.75114
368	47551.68759
369	47543.25262
370	47536.95286
371	47529.97548
372	47519.84486
373	47511.532
374	47498.348
375	47488.5873
376	47478.50794
377	47467.89873
378	47456.97023
379	47445.78554
380	47435.2978
381	47420.5479
382	47407.70011
383	47395.11927
384	47382.28889
385	47374.73733
386	47366.19098
387	47356.51087
388	47348.10845
389	47339.98028
390	47329.50835
391	47321.00595
392	47310.10908
393	47301.53938
394	47293.71281
395	47287.06709
396	47277.02861
397	47262.71617
398	47249.75004
399	47240.51174
400	47232.71803
401	47221.91009
402	47211.11852
403	47202.09905
404	47193.68229
405	47185.66339
406	47175.81033
407	47166.91426
408	47158.21404
409	47150.56817
410	47139.1078
411	47127.49648
412	47116.46583
413	47104.11649
414	47092.72681
415	47079.37947
416	47070.48656
417	47059.84957
418	47052.28265
419	47043.31416
420	47030.68597
421	47019.57646
422	47009.81039
423	47002.67676
424	46993.53843
425	46983.65508
426	46975.52217
427	46966.53859
428	46957.27839
429	46950.05633
430	46943.02625
431	46933.28168
432	46925.6414
433	46917.63985
434	46906.16958
435	46897.58835
436	46889.95653
437	46875.95726
438	46867.81017
439	46855.55247
440	46846.49696
441	46831.10794
442	46821.0219
443	46813.12984
444	46802.77381
445	46795.3372
446	46786.61105
447	46780.55838
448	46771.30033
449	46758.10674
450	46747.48931
451	46739.03839
452	46729.63669
453	46722.79492
454	46711.22452
455	46702.71413
456	46696.59484
457	46687.63145
458	46679.02453
459	46669.56759
460	46659.01543
461	46648.13774
462	46641.31154
463	46633.67118
464	46626.36043
465	46619.38473
466	46609.61409
467	46598.91058
468	46590.72881
469	46581.09184
470	46574.62102
471	46567.05247
472	46561.24499
473	46553.23764
474	46542.526
475	46535.25361
476	46527.96318
477	46517.54585
478	46508.13418
479	46499.85154
480	46491.86981
481	46485.02288
482	46476.54787
483	46467.50348
484	46460.89688
485	46451.41769
486	46443.20417
487	46436.75
488	46428.79446
489	46417.97755
490	46406.24137
491	46398.60303
492	46391.93716
493	46384.5225
494	46378.41936
495	46372.45615
496	46366.47485
497	46357.72992
498	46347.86972
499	46338.75069
500	46331.06345
501	46323.67993
502	46317.7912
503	46311.76311
504	46303.7127
505	46296.55369
506	46282.99643
507	46275.45465
508	46266.20007
509	46260.51092
510	46254.22208
511	46243.30035
512	46235.02665
513	46228.50397
514	46221.91713
515	46213.5457
516	46206.14023
517	46201.25273
518	46194.20147
519	46185.324
520	46174.03358
521	46166.43155
522	46159.47023
523	46152.01227
524	46145.32566
525	46135.12153
526	46126.08253
527	46118.93342
528	46112.43956
529	46105.71168
530	46095.67578
531	46087.8043
532	46081.40365
533	46073.509
534	46066.54893
535	46061.33427
536	46053.4203
537	46048.12626
538	46040.63219
539	46034.20675
540	46025.24385
541	46018.56905
542	46012.11877
543	46003.22005
544	45995.28235
545	45988.14215
546	45979.91211
547	45972.58071
548	45964.87415
549	45957.98885
550	45951.2989
551	45945.79179
552	45937.64494
553	45927.62085
554	45916.56629
555	45909.8313
556	45900.82345
557	45891.65925
558	45882.03158
559	45874.12325
560	45867.80522
561	45860.13636
562	45850.38165
563	45842.74878
564	45834.6315
565	45829.6582
566	45824.35604
567	45818.07991
568	45810.89307
569	45802.72968
570	45797.6831
571	45791.72476
572	45784.53345
573	45770.76695
574	45760.67036
575	45752.83182
576	45744.81433
577	45735.33064
578	45729.23705
579	45724.46734
580	45712.41654
581	45705.39399
582	45699.64762
583	45693.73182
584	45686.77226
585	45680.44316
586	45674.53354
587	45667.80685
588	45658.792
589	45650.27112
590	45643.06127
591	45638.66074
592	45629.0984
593	45623.06239
594	45618.35317
595	45610.01784
596	45598.82808
597	45590.55077
598	45586.59401
599	45579.94284
600	45575.90916
601	45570.24923
602	45563.49636
603	45554.39025
604	45543.49165
605	45537.13438
606	45527.22197
607	45519.66858
608	45510.8583
609	45503.79266
610	45499.22223
611	45489.906
612	45484.67793
613	45475.42635
614	45471.35698
615	45463.52207
616	45457.52054
617	45445.60482
618	45440.26056
619	45432.20344
620	45425.73134
621	45414.43728
622	45405.93354
623	45397.79684
624	45391.26863
625	45382.11096
626	45378.80137
627	45370.33601
628	45362.41303
629	45355.86942
630	45351.33016
631	45343.53449
632	45336.21646
633	45326.85126
634	45322.50873
635	45315.37894
636	45307.76786
637	45300.42289
638	45290.49944
639	45284.13594
640	45276.02138
641	45266.48743
642	45258.71073
643	45250.44991
644	45243.22042
645	45237.71817
646	45230.3129
647	45222.22534
648	45213.70483
649	45201.59139
650	45192.28467
651	45186.73551
652	45182.40393
653	45173.31729
654	45169.40698
655	45164.47866
656	45159.02809
657	45151.70582
658	45146.12853
659	45135.42349
660	45131.29927
661	45122.77138
662	45117.03528
663	45110.12135
664	45106.06407
665	45098.35394
666	45093.65959
667	45089.67303
668	45078.62628
669	45074.49053
670	45066.68541
671	45059.69245
672	45049.58568
673	45039.77912
674	45032.629
675	45021.99059
676	45014.95619
677	45004.95992
678	45000.33322
679	44993.76983
680	44984.78581
681	44979.17486
682	44974.56376
683	44967.11346
684	44955.78803
685	44946.23136
686	44937.52443
687	44930.667
688	44927.21871
689	44920.49137
690	44913.85484
691	44903.66435
692	44894.46071
693	44886.28788
694	44878.72056
695	44873.82883
696	44867.37657
697	44858.22764
