iter	Passed	Remaining
0	3	15012
1	5	13042
2	7	12084
3	9	11785
4	11	11571
5	13	11513
6	16	11688
7	19	12163
8	22	12522
9	26	13421
10	33	15342
11	42	17513
12	49	19120
13	52	18656
14	56	18931
15	60	18697
16	70	20582
17	74	20592
18	86	22727
19	96	24075
20	110	26265
21	113	25657
22	117	25388
23	119	24693
24	121	24104
25	124	23897
26	129	23763
27	133	23678
28	138	23700
29	143	23705
30	149	23947
31	151	23580
32	154	23201
33	156	22922
34	159	22587
35	163	22544
36	166	22379
37	168	22067
38	176	22440
39	182	22613
40	189	22966
41	197	23280
42	199	22988
43	202	22838
44	205	22602
45	211	22815
46	215	22730
47	217	22464
48	219	22222
49	224	22190
50	227	22103
51	230	21946
52	237	22175
53	243	22266
54	245	22071
55	247	21875
56	253	21989
57	256	21843
58	259	21726
59	264	21766
60	266	21572
61	270	21527
62	274	21481
63	276	21344
64	281	21338
65	285	21311
66	290	21370
67	292	21222
68	294	21073
69	296	20906
70	300	20848
71	302	20729
72	305	20601
73	307	20465
74	309	20352
75	311	20208
76	313	20062
77	316	19947
78	319	19929
79	327	20123
80	336	20424
81	340	20397
82	343	20344
83	345	20243
84	348	20161
85	352	20150
86	355	20055
87	357	19952
88	359	19828
89	362	19754
90	366	19793
91	369	19727
92	373	19727
93	378	19750
94	381	19719
95	386	19756
96	389	19683
97	392	19616
98	394	19545
99	397	19475
100	404	19612
101	408	19594
102	410	19511
103	412	19406
104	414	19324
105	417	19276
106	420	19212
107	422	19132
108	427	19193
109	431	19175
110	435	19189
111	437	19094
112	439	19024
113	444	19070
114	448	19039
115	450	18978
116	453	18938
117	455	18847
118	457	18760
119	459	18698
120	464	18724
121	467	18710
122	471	18688
123	475	18717
124	478	18646
125	480	18603
126	483	18562
127	487	18559
128	489	18502
129	492	18447
130	494	18397
131	498	18380
132	500	18307
133	502	18249
134	505	18211
135	507	18141
136	511	18168
137	514	18127
138	517	18087
139	528	18330
140	532	18363
141	536	18352
142	540	18359
143	543	18316
144	545	18258
145	547	18197
146	550	18178
147	553	18131
148	555	18075
149	561	18150
150	565	18146
151	569	18179
152	573	18163
153	577	18165
154	584	18268
155	589	18298
156	592	18285
157	597	18302
158	599	18262
159	601	18208
160	604	18159
161	607	18147
162	610	18124
163	612	18075
164	615	18034
165	618	18014
166	623	18034
167	625	18004
168	628	17953
169	630	17922
170	636	17970
171	639	17942
172	641	17910
173	646	17921
174	650	17924
175	654	17929
176	658	17953
177	662	17934
178	664	17896
179	667	17886
180	671	17872
181	675	17869
182	677	17832
183	679	17783
184	681	17734
185	684	17718
186	686	17681
187	689	17650
188	692	17638
189	694	17591
190	697	17551
191	700	17531
192	705	17563
193	715	17712
194	718	17708
195	721	17691
196	724	17675
197	727	17653
198	730	17635
199	733	17598
200	735	17563
201	737	17527
202	740	17490
203	743	17470
204	745	17431
205	748	17411
206	751	17408
207	755	17395
208	758	17380
209	766	17474
210	774	17578
211	779	17607
212	781	17562
213	783	17525
214	787	17536
215	791	17534
216	795	17524
217	796	17479
218	799	17462
219	802	17446
220	806	17437
221	811	17470
222	817	17506
223	820	17497
224	830	17617
225	835	17641
226	839	17652
227	845	17703
228	853	17775
229	855	17746
230	859	17734
231	872	17922
232	875	17919
233	887	18066
234	898	18211
235	903	18235
236	912	18342
237	918	18383
238	921	18359
239	925	18350
240	928	18332
241	937	18423
242	943	18473
243	950	18518
244	952	18486
245	955	18474
246	968	18642
247	971	18620
248	974	18596
249	978	18584
250	980	18552
251	992	18695
252	996	18691
253	1001	18712
254	1005	18704
255	1008	18684
256	1012	18692
257	1015	18660
258	1025	18769
259	1028	18742
260	1033	18763
261	1040	18812
262	1048	18886
263	1053	18906
264	1065	19037
265	1070	19052
266	1081	19172
267	1089	19234
268	1094	19243
269	1102	19312
270	1106	19316
271	1109	19293
272	1112	19269
273	1115	19241
274	1119	19228
275	1126	19278
276	1130	19272
277	1144	19444
278	1148	19437
279	1153	19436
280	1160	19492
281	1167	19539
282	1171	19521
283	1180	19608
284	1186	19633
285	1191	19633
286	1194	19622
287	1197	19598
288	1200	19573
289	1203	19551
290	1208	19557
291	1212	19552
292	1218	19575
293	1223	19577
294	1228	19590
295	1232	19583
296	1236	19574
297	1242	19606
298	1247	19619
299	1257	19707
300	1262	19714
301	1266	19701
302	1271	19712
303	1275	19703
304	1279	19692
305	1282	19675
306	1286	19669
307	1292	19686
308	1296	19680
309	1300	19672
310	1304	19669
311	1312	19719
312	1316	19717
313	1320	19709
314	1325	19721
315	1334	19774
316	1336	19748
317	1339	19724
318	1345	19746
319	1350	19749
320	1354	19739
321	1359	19750
322	1363	19745
323	1371	19789
324	1374	19767
325	1378	19759
326	1384	19780
327	1388	19782
328	1436	20393
329	1454	20588
330	1475	20811
331	1498	21076
332	1507	21121
333	1514	21151
334	1520	21179
335	1532	21268
336	1548	21430
337	1568	21636
338	1579	21716
339	1593	21836
340	1602	21894
341	1609	21919
342	1613	21910
343	1623	21978
344	1642	22160
345	1650	22197
346	1658	22236
347	1670	22329
348	1686	22469
349	1691	22473
350	1706	22602
351	1711	22595
352	1719	22640
353	1728	22690
354	1736	22716
355	1741	22722
356	1755	22832
357	1766	22908
358	1774	22945
359	1781	22965
360	1785	22947
361	1798	23038
362	1808	23104
363	1818	23160
364	1823	23149
365	1829	23160
366	1836	23184
367	1848	23269
368	1852	23245
